# Black: gogui-dummy
# BlackCommand: misc/gogui-dummy.exe
# BlackLabel: gogui-dummy
# BlackVersion: 1.3.0
# Date: April 26, 2011 11:07:07 AM CEST
# Host: EVA01
# Komi: 6.5
# Referee: -
# Size: 5
# White: go-CEU
# WhiteCommand: misc/GoGuiCliente.exe
# WhiteLabel: go-CEU
# WhiteVersion: 1.X
# Xml: 1
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
0	?	?	?	0	-	46	0.1	172.5	0	0	0	
1	?	?	?	1	-	47	0	187.3	0	0	0	
